Country Name,Country Code,Indicator Name,Indicator Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Colombia,COL,"Población, hombres",SP.POP.TOTL.MA.IN,19469885,19769644,20066543,20357979,20643488,20920388,21186610,21442913,21686623,21925966,22167933,22405198,22632420,22850386,23060580,23272374,23517966,23874571,24331054,24779301,25139588,25415242,
Colombia,COL,"Población, mujeres",SP.POP.TOTL.FE.IN,19745251,20068231,20387506,20699708,21004780,21300552,21586300,21863668,22128690,22387951,22648175,22903701,23149997,23387544,23617367,23847355,24107989,24477100,24945907,25408106,25791075,26101321,
